 frequency       HctmagdB        HscmagdB       
 1.19124201e+02 -6.11957037e-02 -6.50118015e-02 
 1.20226443e+02 -6.23252917e-02 -6.62112882e-02 
 1.21338885e+02 -6.34755784e-02 -6.74327343e-02 
 1.22461620e+02 -6.46469373e-02 -6.86765355e-02 
 1.23594743e+02 -6.58397488e-02 -6.99430944e-02 
 1.24738351e+02 -6.70543995e-02 -7.12328205e-02 
 1.25892541e+02 -6.82912831e-02 -7.25461305e-02 
 1.27057411e+02 -6.95508001e-02 -7.38834483e-02 
 1.28233058e+02 -7.08333578e-02 -7.52452053e-02 
 1.29419584e+02 -7.21393708e-02 -7.66318401e-02 
 1.30617089e+02 -7.34692607e-02 -7.80437990e-02 
 1.31825674e+02 -7.48234566e-02 -7.94815362e-02 
 1.33045442e+02 -7.62023949e-02 -8.09455134e-02 
 1.34276496e+02 -7.76065196e-02 -8.24362005e-02 
 1.35518941e+02 -7.90362823e-02 -8.39540754e-02 
 1.36772883e+02 -8.04921426e-02 -8.54996242e-02 
 1.38038426e+02 -8.19745678e-02 -8.70733412e-02 
 1.39315680e+02 -8.34840334e-02 -8.86757294e-02 
 1.40604752e+02 -8.50210228e-02 -9.03073002e-02 
 1.41905752e+02 -8.65860279e-02 -9.19685739e-02 
 1.43218790e+02 -8.81795491e-02 -9.36600795e-02 
 1.44543977e+02 -8.98020952e-02 -9.53823551e-02 
 1.45881426e+02 -9.14541837e-02 -9.71359479e-02 
 1.47231250e+02 -9.31363410e-02 -9.89214143e-02 
 1.48593564e+02 -9.48491023e-02 -1.00739320e-01 
 1.49968484e+02 -9.65930121e-02 -1.02590241e-01 
 1.51356125e+02 -9.83686240e-02 -1.04474762e-01 
 1.52756606e+02 -1.00176501e-01 -1.06393478e-01 
 1.54170045e+02 -1.02017215e-01 -1.08346994e-01 
 1.55596563e+02 -1.03891350e-01 -1.10335924e-01 
 1.57036280e+02 -1.05799496e-01 -1.12360896e-01 
 1.58489319e+02 -1.07742255e-01 -1.14422543e-01 
 1.59955803e+02 -1.09720240e-01 -1.16521513e-01 
 1.61435856e+02 -1.11734073e-01 -1.18658463e-01 
 1.62929603e+02 -1.13784386e-01 -1.20834060e-01 
 1.64437172e+02 -1.15871823e-01 -1.23048985e-01 
 1.65958691e+02 -1.17997037e-01 -1.25303926e-01 
 1.67494288e+02 -1.20160693e-01 -1.27599586e-01 
 1.69044093e+02 -1.22363467e-01 -1.29936678e-01 
 1.70608239e+02 -1.24606045e-01 -1.32315926e-01 
 1.72186857e+02 -1.26889127e-01 -1.34738068e-01 
 1.73780083e+02 -1.29213420e-01 -1.37203852e-01 
 1.75388050e+02 -1.31579647e-01 -1.39714039e-01 
 1.77010896e+02 -1.33988542e-01 -1.42269402e-01 
 1.78648757e+02 -1.36440848e-01 -1.44870728e-01 
 1.80301774e+02 -1.38937323e-01 -1.47518813e-01 
 1.81970086e+02 -1.41478736e-01 -1.50214470e-01 
 1.83653834e+02 -1.44065870e-01 -1.52958523e-01 
 1.85353162e+02 -1.46699518e-01 -1.55751809e-01 
 1.87068214e+02 -1.49380490e-01 -1.58595180e-01 
 1.88799135e+02 -1.52109603e-01 -1.61489498e-01 
 1.90546072e+02 -1.54887693e-01 -1.64435643e-01 
 1.92309173e+02 -1.57715605e-01 -1.67434507e-01 
 1.94088588e+02 -1.60594201e-01 -1.70486995e-01 
 1.95884467e+02 -1.63524353e-01 -1.73594027e-01 
 1.97696964e+02 -1.66506950e-01 -1.76756538e-01 
 1.99526231e+02 -1.69542893e-01 -1.79975478e-01 
 2.01372425e+02 -1.72633098e-01 -1.83251809e-01 
 2.03235701e+02 -1.75778495e-01 -1.86586512e-01 
 2.05116218e+02 -1.78980030e-01 -1.89980579e-01 
 2.07014135e+02 -1.82238661e-01 -1.93435019e-01 
 2.08929613e+02 -1.85555363e-01 -1.96950859e-01 
 2.10862815e+02 -1.88931125e-01 -2.00529137e-01 
 2.12813905e+02 -1.92366951e-01 -2.04170910e-01 
 2.14783047e+02 -1.95863862e-01 -2.07877249e-01 
 2.16770410e+02 -1.99422893e-01 -2.11649244e-01 
 2.18776162e+02 -2.03045095e-01 -2.15487997e-01 
 2.20800473e+02 -2.06731536e-01 -2.19394632e-01 
 2.22843515e+02 -2.10483299e-01 -2.23370284e-01 
 2.24905461e+02 -2.14301483e-01 -2.27416108e-01 
 2.26986485e+02 -2.18187205e-01 -2.31533276e-01 
 2.29086765e+02 -2.22141596e-01 -2.35722977e-01 
 2.31206479e+02 -2.26165807e-01 -2.39986416e-01 
 2.33345806e+02 -2.30261004e-01 -2.44324817e-01 
 2.35504928e+02 -2.34428370e-01 -2.48739421e-01 
 2.37684029e+02 -2.38669106e-01 -2.53231487e-01 
 2.39883292e+02 -2.42984430e-01 -2.57802292e-01 
 2.42102905e+02 -2.47375579e-01 -2.62453131e-01 
 2.44343055e+02 -2.51843805e-01 -2.67185317e-01 
 2.46603934e+02 -2.56390380e-01 -2.72000183e-01 
 2.48885732e+02 -2.61016595e-01 -2.76899078e-01 
 2.51188643e+02 -2.65723756e-01 -2.81883373e-01 
 2.53512863e+02 -2.70513191e-01 -2.86954454e-01 
 2.55858589e+02 -2.75386244e-01 -2.92113729e-01 
 2.58226019e+02 -2.80344279e-01 -2.97362625e-01 
 2.60615355e+02 -2.85388678e-01 -3.02702587e-01 
 2.63026799e+02 -2.90520843e-01 -3.08135081e-01 
 2.65460556e+02 -2.95742195e-01 -3.13661590e-01 
 2.67916832e+02 -3.01054173e-01 -3.19283618e-01 
 2.70395836e+02 -3.06458237e-01 -3.25002691e-01 
 2.72897778e+02 -3.11955865e-01 -3.30820352e-01 
 2.75422870e+02 -3.17548557e-01 -3.36738166e-01 
 2.77971327e+02 -3.23237830e-01 -3.42757715e-01 
 2.80543364e+02 -3.29025223e-01 -3.48880605e-01 
 2.83139200e+02 -3.34912293e-01 -3.55108460e-01 
 2.85759054e+02 -3.40900619e-01 -3.61442925e-01 
 2.88403150e+02 -3.46991800e-01 -3.67885666e-01 
 2.91071712e+02 -3.53187453e-01 -3.74438369e-01 
 2.93764965e+02 -3.59489219e-01 -3.81102740e-01 
 2.96483139e+02 -3.65898756e-01 -3.87880506e-01 
 2.99226464e+02 -3.72417746e-01 -3.94773416e-01 
 3.01995172e+02 -3.79047887e-01 -4.01783238e-01 
 3.04789499e+02 -3.85790902e-01 -4.08911761e-01 
