 frequency       HctmagdB        Hsc1magdB       Hsc2magdB       Hsc3magdB       Hsc4magdB       Hsc5magdB      
 2.14223143e+04 -2.66267809e+01 -2.59612736e+01 -2.62244322e+01 -2.62264542e+01 -2.62264609e+01 -2.62264609e+01 
 2.16225135e+04 -2.67074027e+01 -2.60253334e+01 -2.62922937e+01 -2.62943837e+01 -2.62943907e+01 -2.62943907e+01 
 2.18227127e+04 -2.67872846e+01 -2.60885310e+01 -2.63592876e+01 -2.63614471e+01 -2.63614545e+01 -2.63614545e+01 
 2.20229119e+04 -2.68664400e+01 -2.61508805e+01 -2.64254273e+01 -2.64276577e+01 -2.64276654e+01 -2.64276654e+01 
 2.22231111e+04 -2.69448820e+01 -2.62123957e+01 -2.64907255e+01 -2.64930282e+01 -2.64930363e+01 -2.64930363e+01 
 2.24233103e+04 -2.70226234e+01 -2.62730901e+01 -2.65551948e+01 -2.65575712e+01 -2.65575797e+01 -2.65575798e+01 
 2.26235095e+04 -2.70996765e+01 -2.63329770e+01 -2.66188473e+01 -2.66212989e+01 -2.66213078e+01 -2.66213078e+01 
 2.28237087e+04 -2.71760534e+01 -2.63920690e+01 -2.66816948e+01 -2.66842230e+01 -2.66842324e+01 -2.66842324e+01 
 2.30239079e+04 -2.72517658e+01 -2.64503789e+01 -2.67437488e+01 -2.67463550e+01 -2.67463649e+01 -2.67463649e+01 
 2.32241071e+04 -2.73268251e+01 -2.65079187e+01 -2.68050206e+01 -2.68077063e+01 -2.68077166e+01 -2.68077167e+01 
 2.34243063e+04 -2.74012426e+01 -2.65647004e+01 -2.68655210e+01 -2.68682876e+01 -2.68682984e+01 -2.68682985e+01 
 2.36245055e+04 -2.74750290e+01 -2.66207357e+01 -2.69252607e+01 -2.69281096e+01 -2.69281210e+01 -2.69281210e+01 
 2.38247047e+04 -2.75481950e+01 -2.66760359e+01 -2.69842500e+01 -2.69871827e+01 -2.69871946e+01 -2.69871946e+01 
 2.40249039e+04 -2.76207509e+01 -2.67306122e+01 -2.70424990e+01 -2.70455169e+01 -2.70455293e+01 -2.70455293e+01 
 2.42251031e+04 -2.76927067e+01 -2.67844754e+01 -2.71000176e+01 -2.71031220e+01 -2.71031350e+01 -2.71031350e+01 
 2.44253023e+04 -2.77640724e+01 -2.68376362e+01 -2.71568152e+01 -2.71600076e+01 -2.71600212e+01 -2.71600212e+01 
 2.46255015e+04 -2.78348574e+01 -2.68901048e+01 -2.72129014e+01 -2.72161831e+01 -2.72161973e+01 -2.72161973e+01 
 2.48257007e+04 -2.79050712e+01 -2.69418915e+01 -2.72682850e+01 -2.72716574e+01 -2.72716723e+01 -2.72716723e+01 
 2.50258999e+04 -2.79747229e+01 -2.69930062e+01 -2.73229751e+01 -2.73264396e+01 -2.73264551e+01 -2.73264552e+01 
 2.52260991e+04 -2.80438213e+01 -2.70434585e+01 -2.73769803e+01 -2.73805382e+01 -2.73805544e+01 -2.73805545e+01 
 2.54262983e+04 -2.81123752e+01 -2.70932581e+01 -2.74303090e+01 -2.74339617e+01 -2.74339786e+01 -2.74339786e+01 
 2.56264975e+04 -2.81803931e+01 -2.71424141e+01 -2.74829694e+01 -2.74867183e+01 -2.74867359e+01 -2.74867359e+01 
 2.58266967e+04 -2.82478834e+01 -2.71909357e+01 -2.75349697e+01 -2.75388159e+01 -2.75388343e+01 -2.75388344e+01 
 2.60268959e+04 -2.83148540e+01 -2.72388317e+01 -2.75863176e+01 -2.75902626e+01 -2.75902817e+01 -2.75902818e+01 
 2.62270951e+04 -2.83813129e+01 -2.72861109e+01 -2.76370208e+01 -2.76410658e+01 -2.76410857e+01 -2.76410858e+01 
 2.64272943e+04 -2.84472680e+01 -2.73327819e+01 -2.76870868e+01 -2.76912330e+01 -2.76912538e+01 -2.76912538e+01 
 2.66274935e+04 -2.85127267e+01 -2.73788529e+01 -2.77365229e+01 -2.77407716e+01 -2.77407932e+01 -2.77407932e+01 
 2.68276927e+04 -2.85776964e+01 -2.74243322e+01 -2.77853362e+01 -2.77896885e+01 -2.77897110e+01 -2.77897111e+01 
 2.70278919e+04 -2.86421845e+01 -2.74692279e+01 -2.78335337e+01 -2.78379909e+01 -2.78380142e+01 -2.78380143e+01 
 2.72280911e+04 -2.87061980e+01 -2.75135477e+01 -2.78811221e+01 -2.78856854e+01 -2.78857096e+01 -2.78857097e+01 
 2.74282903e+04 -2.87697437e+01 -2.75572995e+01 -2.79281082e+01 -2.79327786e+01 -2.79328038e+01 -2.79328039e+01 
 2.76284895e+04 -2.88328286e+01 -2.76004907e+01 -2.79744984e+01 -2.79792770e+01 -2.79793032e+01 -2.79793033e+01 
