 frequency       HctmagdB        HscmagdB       
 2.94301351e+04 -2.93808564e+01 -2.83719994e+01 
 2.95302342e+04 -2.94103152e+01 -2.83925046e+01 
 2.96303333e+04 -2.94396746e+01 -2.84128760e+01 
 2.97304324e+04 -2.94689351e+01 -2.84331142e+01 
 2.98305315e+04 -2.94980976e+01 -2.84532199e+01 
 2.99306306e+04 -2.95271625e+01 -2.84731936e+01 
 3.00307297e+04 -2.95561307e+01 -2.84930360e+01 
 3.01308288e+04 -2.95850026e+01 -2.85127476e+01 
 3.02309279e+04 -2.96137790e+01 -2.85323291e+01 
 3.03310270e+04 -2.96424605e+01 -2.85517810e+01 
 3.04311261e+04 -2.96710477e+01 -2.85711040e+01 
 3.05312252e+04 -2.96995412e+01 -2.85902985e+01 
 3.06313243e+04 -2.97279416e+01 -2.86093652e+01 
 3.07314234e+04 -2.97562496e+01 -2.86283045e+01 
 3.08315225e+04 -2.97844657e+01 -2.86471171e+01 
 3.09316216e+04 -2.98125906e+01 -2.86658036e+01 
 3.10317207e+04 -2.98406248e+01 -2.86843643e+01 
 3.11318198e+04 -2.98685689e+01 -2.87028000e+01 
 3.12319189e+04 -2.98964234e+01 -2.87211110e+01 
 3.13320180e+04 -2.99241890e+01 -2.87392980e+01 
 3.14321171e+04 -2.99518662e+01 -2.87573614e+01 
 3.15322162e+04 -2.99794556e+01 -2.87753018e+01 
 3.16323153e+04 -3.00069578e+01 -2.87931197e+01 
 3.17324144e+04 -3.00343732e+01 -2.88108155e+01 
 3.18325135e+04 -3.00617024e+01 -2.88283898e+01 
 3.19326126e+04 -3.00889460e+01 -2.88458430e+01 
 3.20327117e+04 -3.01161045e+01 -2.88631757e+01 
 3.21328108e+04 -3.01431785e+01 -2.88803882e+01 
 3.22329099e+04 -3.01701684e+01 -2.88974812e+01 
 3.23330090e+04 -3.01970747e+01 -2.89144550e+01 
 3.24331081e+04 -3.02238981e+01 -2.89313101e+01 
 3.25332072e+04 -3.02506389e+01 -2.89480470e+01 
 3.26333063e+04 -3.02772978e+01 -2.89646661e+01 
 3.27334054e+04 -3.03038751e+01 -2.89811680e+01 
