 frequency       Hph1magdB       Hph2magdB      
 1.47910839e+04 -2.34756730e+01 -2.34756730e+01 
 1.51356125e+04 -2.36711143e+01 -2.36711143e+01 
 1.54881662e+04 -2.38664193e+01 -2.38664193e+01 
 1.58489319e+04 -2.40615780e+01 -2.40615780e+01 
 1.62181010e+04 -2.42565801e+01 -2.42565801e+01 
 1.65958691e+04 -2.44514150e+01 -2.44514150e+01 
 1.69824365e+04 -2.46460714e+01 -2.46460714e+01 
 1.73780083e+04 -2.48405380e+01 -2.48405380e+01 
 1.77827941e+04 -2.50348029e+01 -2.50348029e+01 
 1.81970086e+04 -2.52288538e+01 -2.52288538e+01 
 1.86208714e+04 -2.54226778e+01 -2.54226778e+01 
 1.90546072e+04 -2.56162617e+01 -2.56162617e+01 
 1.94984460e+04 -2.58095917e+01 -2.58095917e+01 
 1.99526231e+04 -2.60026534e+01 -2.60026534e+01 
 2.04173794e+04 -2.61954318e+01 -2.61954318e+01 
 2.08929613e+04 -2.63879112e+01 -2.63879112e+01 
 2.13796209e+04 -2.65800755e+01 -2.65800755e+01 
 2.18776162e+04 -2.67719077e+01 -2.67719077e+01 
 2.23872114e+04 -2.69633900e+01 -2.69633900e+01 
 2.29086765e+04 -2.71545040e+01 -2.71545040e+01 
 2.34422882e+04 -2.73452304e+01 -2.73452304e+01 
 2.39883292e+04 -2.75355489e+01 -2.75355489e+01 
 2.45470892e+04 -2.77254385e+01 -2.77254385e+01 
 2.51188643e+04 -2.79148771e+01 -2.79148771e+01 
 2.57039578e+04 -2.81038416e+01 -2.81038416e+01 
 2.63026799e+04 -2.82923080e+01 -2.82923080e+01 
 2.69153480e+04 -2.84802508e+01 -2.84802508e+01 
 2.75422870e+04 -2.86676436e+01 -2.86676436e+01 
 2.81838293e+04 -2.88544588e+01 -2.88544588e+01 
 2.88403150e+04 -2.90406671e+01 -2.90406671e+01 
 2.95120923e+04 -2.92262383e+01 -2.92262383e+01 
 3.01995172e+04 -2.94111403e+01 -2.94111403e+01 
 3.09029543e+04 -2.95953397e+01 -2.95953397e+01 
 3.16227766e+04 -2.97788014e+01 -2.97788014e+01 
 3.23593657e+04 -2.99614885e+01 -2.99614885e+01 
 3.31131121e+04 -3.01433625e+01 -3.01433625e+01 
 3.38844156e+04 -3.03243827e+01 -3.03243827e+01 
 3.46736850e+04 -3.05045065e+01 -3.05045065e+01 
 3.54813389e+04 -3.06836893e+01 -3.06836893e+01 
 3.63078055e+04 -3.08618840e+01 -3.08618840e+01 
 3.71535229e+04 -3.10390413e+01 -3.10390413e+01 
