 time            Vin             Vout           
 2.71831164e-06  7.90000000e-01  2.80549553e-01 
 2.71931164e-06  7.90000000e-01  2.80549572e-01 
 2.72031164e-06  7.90000000e-01  2.80549591e-01 
 2.72131164e-06  7.90000000e-01  2.80549610e-01 
 2.72231164e-06  7.90000000e-01  2.80549629e-01 
 2.72331164e-06  7.90000000e-01  2.80549647e-01 
 2.72431164e-06  7.90000000e-01  2.80549666e-01 
 2.72531164e-06  7.90000000e-01  2.80549684e-01 
 2.72631164e-06  7.90000000e-01  2.80549702e-01 
 2.72731164e-06  7.90000000e-01  2.80549720e-01 
 2.72831164e-06  7.90000000e-01  2.80549738e-01 
 2.72931164e-06  7.90000000e-01  2.80549756e-01 
 2.73031164e-06  7.90000000e-01  2.80549774e-01 
 2.73131164e-06  7.90000000e-01  2.80549791e-01 
 2.73231164e-06  7.90000000e-01  2.80549809e-01 
 2.73331164e-06  7.90000000e-01  2.80549826e-01 
 2.73431164e-06  7.90000000e-01  2.80549843e-01 
 2.73531164e-06  7.90000000e-01  2.80549860e-01 
 2.73631164e-06  7.90000000e-01  2.80549877e-01 
 2.73731164e-06  7.90000000e-01  2.80549894e-01 
 2.73831164e-06  7.90000000e-01  2.80549911e-01 
 2.73931164e-06  7.90000000e-01  2.80549927e-01 
 2.74031164e-06  7.90000000e-01  2.80549944e-01 
 2.74131164e-06  7.90000000e-01  2.80549960e-01 
 2.74231164e-06  7.90000000e-01  2.80549976e-01 
 2.74331164e-06  7.90000000e-01  2.80549992e-01 
 2.74431164e-06  7.90000000e-01  2.80550008e-01 
 2.74531164e-06  7.90000000e-01  2.80550024e-01 
 2.74631164e-06  7.90000000e-01  2.80550039e-01 
 2.74731164e-06  7.90000000e-01  2.80550055e-01 
 2.74831164e-06  7.90000000e-01  2.80550070e-01 
 2.74931164e-06  7.90000000e-01  2.80550086e-01 
 2.75031164e-06  7.90000000e-01  2.80550101e-01 
 2.75131164e-06  7.90000000e-01  2.80550116e-01 
 2.75231164e-06  7.90000000e-01  2.80550131e-01 
 2.75331164e-06  7.90000000e-01  2.80550146e-01 
 2.75431164e-06  7.90000000e-01  2.80550160e-01 
 2.75531164e-06  7.90000000e-01  2.80550175e-01 
 2.75631164e-06  7.90000000e-01  2.80550189e-01 
 2.75731164e-06  7.90000000e-01  2.80550203e-01 
 2.75831164e-06  7.90000000e-01  2.80550218e-01 
 2.75931164e-06  7.90000000e-01  2.80550232e-01 
 2.76031164e-06  7.90000000e-01  2.80550246e-01 
 2.76131164e-06  7.90000000e-01  2.80550259e-01 
 2.76231164e-06  7.90000000e-01  2.80550273e-01 
 2.76331164e-06  7.90000000e-01  2.80550287e-01 
 2.76431164e-06  7.90000000e-01  2.80550300e-01 
 2.76531164e-06  7.90000000e-01  2.80550313e-01 
 2.76631164e-06  7.90000000e-01  2.80550327e-01 
 2.76731164e-06  7.90000000e-01  2.80550340e-01 
 2.76831164e-06  7.90000000e-01  2.80550353e-01 
 2.76931164e-06  7.90000000e-01  2.80550365e-01 
 2.77031164e-06  7.90000000e-01  2.80550378e-01 
 2.77131164e-06  7.90000000e-01  2.80550391e-01 
 2.77231164e-06  7.90000000e-01  2.80550403e-01 
 2.77331164e-06  7.90000000e-01  2.80550415e-01 
 2.77431164e-06  7.90000000e-01  2.80550428e-01 
 2.77531164e-06  7.90000000e-01  2.80550440e-01 
 2.77631164e-06  7.90000000e-01  2.80550452e-01 
 2.77731164e-06  7.90000000e-01  2.80550464e-01 
 2.77831164e-06  7.90000000e-01  2.80550475e-01 
 2.77931164e-06  7.90000000e-01  2.80550487e-01 
 2.78031164e-06  7.90000000e-01  2.80550499e-01 
 2.78131164e-06  7.90000000e-01  2.80550510e-01 
 2.78231164e-06  7.90000000e-01  2.80550521e-01 
 2.78331164e-06  7.90000000e-01  2.80550532e-01 
 2.78431164e-06  7.90000000e-01  2.80550543e-01 
 2.78531164e-06  7.90000000e-01  2.80550554e-01 
 2.78631164e-06  7.90000000e-01  2.80550565e-01 
 2.78731164e-06  7.90000000e-01  2.80550576e-01 
 2.78831164e-06  7.90000000e-01  2.80550586e-01 
 2.78931164e-06  7.90000000e-01  2.80550597e-01 
 2.79031164e-06  7.90000000e-01  2.80550607e-01 
 2.79131164e-06  7.90000000e-01  2.80550618e-01 
 2.79231164e-06  7.90000000e-01  2.80550628e-01 
 2.79331164e-06  7.90000000e-01  2.80550638e-01 
 2.79431164e-06  7.90000000e-01  2.80550648e-01 
 2.79531164e-06  7.90000000e-01  2.80550657e-01 
 2.79631164e-06  7.90000000e-01  2.80550667e-01 
 2.79731164e-06  7.90000000e-01  2.80550677e-01 
 2.79831164e-06  7.90000000e-01  2.80550686e-01 
 2.79931164e-06  7.90000000e-01  2.80550695e-01 
 2.80031164e-06  7.90000000e-01  2.80550705e-01 
 2.80131164e-06  7.90000000e-01  2.80550714e-01 
 2.80231164e-06  7.90000000e-01  2.80550723e-01 
 2.80331164e-06  7.90000000e-01  2.80550732e-01 
 2.80431164e-06  7.90000000e-01  2.80550740e-01 
 2.80531164e-06  7.90000000e-01  2.80550749e-01 
 2.80631164e-06  7.90000000e-01  2.80550758e-01 
 2.80731164e-06  7.90000000e-01  2.80550766e-01 
 2.80831164e-06  7.90000000e-01  2.80550775e-01 
 2.80931164e-06  7.90000000e-01  2.80550783e-01 
 2.81031164e-06  7.90000000e-01  2.80550791e-01 
 2.81131164e-06  7.90000000e-01  2.80550799e-01 
 2.81231164e-06  7.90000000e-01  2.80550807e-01 
 2.81331164e-06  7.90000000e-01  2.80550815e-01 
 2.81431164e-06  7.90000000e-01  2.80550822e-01 
 2.81531164e-06  7.90000000e-01  2.80550830e-01 
 2.81631164e-06  7.90000000e-01  2.80550838e-01 
 2.81731164e-06  7.90000000e-01  2.80550845e-01 
 2.81831164e-06  7.90000000e-01  2.80550852e-01 
 2.81931164e-06  7.90000000e-01  2.80550859e-01 
 2.82031164e-06  7.90000000e-01  2.80550867e-01 
 2.82131164e-06  7.90000000e-01  2.80550874e-01 
 2.82231164e-06  7.90000000e-01  2.80550880e-01 
 2.82331164e-06  7.90000000e-01  2.80550887e-01 
 2.82431164e-06  7.90000000e-01  2.80550894e-01 
 2.82531164e-06  7.90000000e-01  2.80550900e-01 
 2.82631164e-06  7.90000000e-01  2.80550907e-01 
 2.82731164e-06  7.90000000e-01  2.80550913e-01 
 2.82831164e-06  7.90000000e-01  2.80550919e-01 
 2.82931164e-06  7.90000000e-01  2.80550926e-01 
 2.83031164e-06  7.90000000e-01  2.80550932e-01 
 2.83131164e-06  7.90000000e-01  2.80550938e-01 
 2.83231164e-06  7.90000000e-01  2.80550944e-01 
 2.83331164e-06  7.90000000e-01  2.80550949e-01 
 2.83431164e-06  7.90000000e-01  2.80550955e-01 
 2.83531164e-06  7.90000000e-01  2.80550961e-01 
 2.83631164e-06  7.90000000e-01  2.80550966e-01 
 2.83731164e-06  7.90000000e-01  2.80550971e-01 
 2.83831164e-06  7.90000000e-01  2.80550977e-01 
 2.83931164e-06  7.90000000e-01  2.80550982e-01 
 2.84031164e-06  7.90000000e-01  2.80550987e-01 
 2.84131164e-06  7.90000000e-01  2.80550992e-01 
 2.84231164e-06  7.90000000e-01  2.80550997e-01 
 2.84331164e-06  7.90000000e-01  2.80551002e-01 
 2.84431164e-06  7.90000000e-01  2.80551006e-01 
 2.84531164e-06  7.90000000e-01  2.80551011e-01 
 2.84631164e-06  7.90000000e-01  2.80551015e-01 
 2.84731164e-06  7.90000000e-01  2.80551020e-01 
 2.84831164e-06  7.90000000e-01  2.80551024e-01 
 2.84931164e-06  7.90000000e-01  2.80551028e-01 
 2.85031164e-06  7.90000000e-01  2.80551033e-01 
 2.85131164e-06  7.90000000e-01  2.80551037e-01 
 2.85231164e-06  7.90000000e-01  2.80551041e-01 
 2.85331164e-06  7.90000000e-01  2.80551045e-01 
 2.85431164e-06  7.90000000e-01  2.80551048e-01 
 2.85531164e-06  7.90000000e-01  2.80551052e-01 
 2.85631164e-06  7.90000000e-01  2.80551056e-01 
 2.85731164e-06  7.90000000e-01  2.80551059e-01 
 2.85831164e-06  7.90000000e-01  2.80551063e-01 
 2.85931164e-06  7.90000000e-01  2.80551066e-01 
